职位名称,公司名称,经验要求,学历,工作地点,最低薪水,最高薪水,职位描述,公司类型,最低员工人数,最高员工人数,主营业务
客服主管（电商）,上海云镛电子商务有限公司,2年经验,大专,上海-青浦区,5000,8000,"1、负责客服部门人员的日常管理工作，保证团队工作的正常进行2、带领团队，提升团队咨询转化率，提高销售业绩；3、协助处理售前、售后业务，解决客服的投诉及不良评价；4、制定部门工作流程、客户服务标准，建立具有竞争力的考核体系；5、定期的组织培训工作(销售流程\沟通技巧\专业话术等)，带领团队提高服务质量、成交率、降低退货、退款率及投诉率，针对客户反馈信息不断提高优化服务水平；6、协调与各部门的工作衔接及配合，定期向上级汇报团队管理情况。任职要求：1、大专及以上学历,2年以上电商平台客服工作经验并有1年以上团队管理经验，2、熟悉售前、售中、售后整个工作流程，具有优秀的客户处理技巧和经验；3、反应灵敏,具有较强的逻辑思维能力和独立处理突发事件的能力；4、有较强的团队建设管理能力，能有效管理团队完成公司制定的销售目标；5、具备较强的服务意识，有较好组织实施和沟通协调能力，并对工作数据进行有效分析，发现问题解决问题。6、有责任心、有原则，工作细致耐心，较强的抗压能力，优秀的领导能力。",民营公司,50,50,"互联网/电子商务,计算机软件"
中信银行电话销售双休/包住宿,深圳优品易购电子商务有限公司,无工作经验,中专,深圳-罗湖区,6000,8000,"公司简介华拓金服成立于2002年，是国内成立较早、规模较大的专业金融服务外包提供商，长期专注于为中国金融企业提供业务流程外包服务。华拓管理总部位于首都北京，并已形成辐射全国的现代化运营交付体系，先后在大庆、花桥、湘潭、合肥、马鞍山建立五个主交付基地，上海、深圳、哈尔滨、武汉等地均设作业场地。截止到2014年底，华拓全国员工总数超过7000人，连续多年荣获“全球服务外包百强”、“中国服务外包十强”等荣誉称号。***、李源潮、栗战书、***等党和国家领导人多次到公司视察工作。华拓目前承接全国范围内银行信用卡全流程、银行前后台各环节、银行客服以及银行核规核查等各项集中离场、驻场外包服务，通过“专业化、标准化、规模化”的全流程外包服务，帮助中国金融企业实现内部资源整合，优化客户体验，提升运营管理及创新能力，增强自身核心竞争力以应对快速变化的市场竞争环境。公司定位：专业金融服务外包商公司目标：成为中国第一家专注于金融服务外包的上市企业公司使命：助推中国金融业变革公司口号：专业使您更专注公司愿景：做中国最可信赖的金融服务外包商二、职位介绍因公司业务蓬勃发展，深圳职场2017继续扩大规模，所以特招聘以下职位。1.岗位名称：银行电话销售专员2.岗位职责：根据银行提供的客户名单以电话外呼方式与客户沟通，为客户提供银行增值业务(卡片升级年费套餐 或 者邮购产品，无需外出面见客户）三.岗位要求：1)大专及以上学历,有相关工作经验者或优秀人员，可放宽学历至中专或高中；2)表达能力与沟通能力较强，普通话流利，有电话销售者优先；3)个性开朗、有上进心，团队意识强，良好的学习能力与抗压能力；4)为人积极向上，积极主动、富有工作热情，有良好的服务意识；5)熟练操作office办公软件。4.薪资待遇：1)公司处于筹备上市阶段，待遇从优，购买保险，享受餐补、房补、年功、全勤奖、生日会、国家规定的相关假期等福利；2)薪资结构 = 底薪 + 提成 + 公司各项福利；平均薪资5000以上，上不封顶。5.职业发展道路：完善的内部竞聘系统：TSR → 资深TSR → 专家TSR → 储备干部 → 组长 → 资深组长 → 主管 → 经理1)工作时间：朝九晚六大小周休息 意向可联系：15838294137",民营公司,500,1000,"互联网/电子商务,金融/投资/证券"
人力资源专员,北京蒂帛电子商务有限公司,1年经验,大专,北京-通州区,6000,8000,1、 负责公司人力资源工作的规划，建立、执行招聘、培训、考勤、劳动纪律等人事程序或规章制度；2、负责制定和完善公司岗位编制，协调公司各部门有效的开发和利用人力，满足公司的经营管理需要；3、根据现有的编织及业务发展需求，协调、统计各部门的招聘需求，编制年度/月度人员招聘计划，经批准后实施；4、做好各岗位的职位说明书，并根据公司职位调整组要进行相应的变更，保证职位说明书与实际相符；5、负责办理入职手续，负责人事档案的管理、保管、用工合同的签订；6、建立并及时更新员工档案，做好年度/月度人员异动统计（包括离职、入职、晋升、调动、降职等）7、制定公司及各个部门的培训计划和培训大纲，经批准后实施；8、对试用期员工进行培训及考核，并根据培训考核结果建议部门录用；9、负责拟定部门薪酬制度和方案，建立行之有效的激励和约束机制；10、制定绩效评价政策，组织实施绩效管理，并对各部门绩效评价过程进行监督和控制，及时解决其中出现的问题，使绩效评价体系能够落到实处，并不断完善绩效管理体系；11.、负责审核并按职责报批员工定级、升职、加薪、奖励及纪律处分及内部调配、调入、调出、辞退等手续；12、做好员工考勤统计工作，负责加班的审核和报批工作13、负责公司员工福利、社会保险、劳动年检的办理；14、配合其他部门做好员工思想工作，受理并及时解决员工投诉和劳动争议事宜；15、其他突发事件处理和领导交办的工作。任职要求1、人力资源管理、行政管理、中文、文秘、汉语言文学及相关专业大专以上学历。2、从事人力资源工作1年以上，具备hr专业知识 。3、具有良好的书面、口头表达能力，具有亲和力和服务意识，沟通领悟能力强。4、熟练使用常用办公软件及相关人事管理软件。5、了解国家各项劳动人事法规政策。6、吃苦耐劳，工作细致认真，原则性强，有良好的执行力及职业素养。7、有强烈的责任感和敬业精神，公平公正、做事严谨，能承受较大的工作压力。,民营公司,50,50,互联网/电子商务
运营助理/电商助理/电商实习生/包住/包住宿,杭州梦魅电子商务有限公司,无工作经验,大专,杭州-余杭区,2000,4000,1、熟练使用电脑常见办公软件，word、excel等；2、对淘宝，京东等电商平台都了解者优先考虑；3、协助店长处理天猫/京东/拼多多等电商平台的相关事宜，如：报活动，写文案，上传产品，优化评价，统计数据，审核订单等；要求服务意识强，有较好的沟通能力，能承受一定的工作压力，善于学习，能迅速成长，独立完成一些店铺事宜；4、要求2018年7月毕业大学生。（表现好毕业可留职，无经验要求，但要有学习力、有上进心，且有强烈的团队精神，电商专业优先考虑！）咨询电话：0571-2882 2298实习生，一个月试用期，底薪2000-3000之间+业绩提成+全勤奖等，包住宿！！！公司旁边高档小区，卫生间每个房间带大阳台，热水器、洗衣机一应俱全！！！一个月后转正会加一次工资，后期也会根据表现每3-5个月逐次累加。我们这里有来自阿里巴巴的优秀员工，还有优秀的讲师，从情商的培训、阿里铁军营销技巧培训、直通车钻展推广培训、管理培训、到美工的PS，为你打造多元化的全方位培训体系！我们有齐全的五险，提成，高温补贴，培训等各种福利。没有我们做不到的，只有你想不到的！如果你有梦想，那么，现在就加入我们！毕业转正后：底薪+绩效奖金+年度奖金+带薪年假+P系列晋升体系和M系列晋升体系！完善的晋升体系让你有无限种可能实现自己的高薪梦！工作地址杭州余杭区中心路西部科技园C座西边2楼,民营公司,50,50,"互联网/电子商务,批发/零售"
招聘专员,北京香送电子商务有限公司,1年经验,大专,北京-朝阳区,5000,6000,岗位职责：1.根据现有编制及业务发展需求，协调、统计各部门的招聘需求，编制年度人员招聘计划；2、建立和完善公司的招聘流程和招聘体系；3、利用各种招聘渠道发布招聘广告，寻求招聘机构；4、执行招聘、甄选、面试、选择、安置工作；5、进行聘前测试和简历甄别工作；6、充分利用各种招聘渠道满足公司的人才需求；7、建立后备人才选拔方案和人才储备机制。任职要求：1.1-3年人事招聘工作经验；2.有线下门店招聘或快消品行业经验优先。,创业公司,50,150,互联网/电子商务
急聘电商打包 仓库打包,深圳市南岸电子商务有限公司,1年经验,高中,深圳-龙岗区,4200,5500,岗位职责：1. 商品的入库、验收、清点、登记及分类摆放。2. 商品的贴标上架正确入位。3. 发货清单货品的配货、核对、清点、打包、发货。任职要求：1.年龄：20-30 岁，高中、中专及以上学历 。2.熟练使用电脑3.有责任心，踏实肯干，工作细心负责。4.有团队合作精神，服从性强，能够接受适度的加班。5.在工厂或者电商企业的仓库有相关工作经验者优先。工作地址：深圳市龙岗区坂田布龙路592号金裕城大厦二栋902交通： 五和地铁C出口走路2分钟即可到达,民营公司,50,50,"贸易/进出口,互联网/电子商务"
产品开发专员（电商）,广州智干电子商务科技有限公司,无工作经验,本科,广州-海珠区,12000,15000,由于岗位称谓每个公司不尽相同，所以发布职位时同一职位我们会以不同标题发布多条。请仔细阅读职位说明且认真投递简历，勿重复投递（重复投递不会增加面试几率）。【岗位职责】1、根据用户反馈对产品问题进行分析整理，结合实际有策略地解决产品痛点；2、完成产品调研，向BI部门提出数据分析需求，建立产品模型和资料库；3、根据公司产品策略，协助上级汇集决策所需信息，完成新品的产品定义；4、参加相关展会，了解行业动态，发现新的市场机遇；5、撰写产品分析报告，进行产品定义，并配合各部门完成产品开发。【我们对您期望】1、统招全日制本科及以上学历，CET-4以上，不限专业；2、具备优秀的学习和逻辑思维能力，数据处理分析的能力；3、自我驱动力强，喜欢钻研并解决问题，关注产品信息及行业动向；4、熟悉产品从设计到成品的全流程，对生产制造有一定了解；5、热爱生活，热衷提升消费品的用户体验，致力于改变生活品质。【优先条件】1、重点院校毕业，具备同理心、懂审美，有较强的生活感；2、产品玩家，对新产品、新事物兴趣浓厚。,民营公司,150,500,"互联网/电子商务,贸易/进出口"
Amazon销售经理（美妆类）,深圳市亚飞电子商务有限公司,3-4年经验,大专,深圳-龙岗区,8000,15000,"岗位职责:1、负责亚马逊平台美妆品类的风控,制定并分解执行团队目标；2、负责整合调配产品开发工作，跟进销售运营策略；3、研究分析行业市场及竞争对手分析,优化团队流程,调整运营策略,并推进执行；4、协助部门负责人,推动美妆产品线供应链整体运营,提升供应效率；5、定期培训提升团队专业技巧，保证团队内部及相关部门之间的工作和关系协调；6、利用其它社交平台操作站外渠道引流，提升产品的销售；7、完成部门负责人交付的其他任务。任职要求：1、熟悉平台政策，一年以上平台运营/开发/推广经验，管理经验者优先；2、能熟练使用关键词调研网站及浏览英文网页；3、熟悉欧美消费者购物习性，热衷于销售/开发，有敏锐的市场观察能力；4、有爆款打造经验，或者单条listing常年霸占热搜前页的创建者优先；5、良好的数据敏感性，熟练的数据分析和总结能力，能明确的输出报告结论；6、强烈的责任心，迅速准确的执行力，优秀的团队管理经验；7、潮流中保持独立思考，强烈的责任心，踏实肯干，有较强的领导能力、",民营公司,150,500,"互联网/电子商务,贸易/进出口"
亚马逊销售（日语、英语、德语）,深圳市长顺电子商务有限公司,2年经验,大专,深圳-宝安区,100000,150000,一、职位描述：1、负责Amazon店铺的全面管理工作，包含产品发布，listing优化，销售管理等。2、将产品发布到Amazon美国站，拟定合理的产品上架计划，控制成本及风险，制定营销计划。3、负责产品的listing编辑及优化、卖点提炼、关键词提炼、资料上传，以及店铺后台的运营管理。4、负责收集、分析市场情报以及国内外竞争对手的情况，制定我司有竞争力的销售策略，达成Amazon销售业绩目标。5、熟悉站内广告活动的操作技巧，和站外社交平台的推广。6、负责客户订单的处理，客户关系维护，具备对争议和差评订单的处理技巧，提高用户好评率。7、定期统计分析销售数据、库存数据等，及时调整销售策略，与团队协作完成销售任务。8、了解Amazon政策和规定，并良好应用。二、职位要求：1、大专或以上学历，英语、日语、德语读写流利；2、两年以上亚马逊平台操作经验，熟悉Amazon各种规则及推广工具的使用，能独立操作Amazon账号；3、独立操作亚马逊账号，开展在亚马逊全球各站点的运营工作，包括各类营销方案的策划及实施；4、负责制定计划并指导团队进行工作，实现高效运作，包括用户需求分析、页面设计优化、流量分析等，带领整个团队实现营销目标；5、做事细心、有耐心，有领导力和较强的执行力，能承受一定的工作压力和高度责任心。6、建立并不断优化运营流程，团队人才管理及培养。,民营公司,50,50,贸易/进出口
双休系统测试工程师,重庆优云家电子商务有限公司,无工作经验,大专,重庆-九龙坡区,4500,6000,岗位职责：1、专科及以上学历，计算机、软件、测试、网络、信息、通信、电子、数学、信管、设计、物联网、自动化等相关专业优先考虑，其它专业优秀毕业生亦可考虑；2、对软件测试有浓厚兴趣，积极主动，善于沟通；3、逻辑清晰，善于总结归纳任职要求：1、需要大专以上学历，学历低了很多东西你不懂，我们带着做很恼火。2、需要了解过互联网行业或者看好IT测试发展的，这对我们工作开展认可度很重要，3、如果不懂不精通也没关系，有一颗学习的心积极向上的心态我们也很欢迎，如果你什么都不懂，公司还要给你工资，还要培养你，如果你是老板，你愿意不？4、要能吃苦，，需要的是实干型伙伴。5、要听指挥，当你的想法和公司的意见冲突时，请你把自己定位在将军职责，而不是元帅。补充说明1、前期没有经验工资肯定低，做技术岗都是靠经验积累起来的，2、我们希望应聘该岗位的求职者，是以学习为目的，而非其他（这点很重要）。3、只要你能吃苦，求学上进，在这个岗位你能够学到最前沿的引流技术和方法。4、这些引流技术和方法对你以后发展有什么好处？自己想，,民营公司,50,150,"互联网/电子商务,通信/电信/网络设备"
网络销售,山东软淘电子商务有限公司,无工作经验,中技,济南-历城区,3000,6000,"岗位要求：1、通过互联网寻找客户，不需要外出，在线进行公司产品的销售及推广，开发新客户；2、通过网络与客户进行有效沟通了解客户需求, 寻找销售机会并完成销售业绩；3、维护老客户的业务，挖掘客户的最大潜力；4、定期与合作客户进行沟通，建立良好的长期合作关系。任职资格：1、18-30岁，口齿清晰。2、对销售工作有较高的热情；3、具备较强的学习能力和优秀的沟通能力；4、性格坚韧，思维敏捷，具备良好的应变能力；5、有强烈的事业心、责任心和积极的工作态度，有相关销售工作经验者优先。",民营公司,50,50,"互联网/电子商务,计算机软件"
外贸网站运营推广专员(职位编号：SIIHR1804B),东莞利洋电子商务有限公司,1年经验,大专,东莞-南城区,4500,6000,1、负责企业网站产品上下架，对网站内容、构架及代码等进行优化2、统计、分析、研判各类网站关键词及相关数据、确定推广目标，制定有效的推广方式，针对网站特定内容进行专项推广。3、利用门户网站、搜索引擎、国际社交平台、广告投放等渠道推广公司网站，以提升网站曝光量。4、根据网站相关数据，通过SEO技术（搜索引擎工作原理，网站结构，网页代码、内链、外链等能影响排名的相关因素和权重等）进行网站优化，提升网站在各个搜索引擎的权重；提出全站SEO策略和计划，对网站进行布局规划。,民营公司,50,50,互联网/电子商务
招商经理,上海敬本电子商务有限公司,1年经验,大专,上海-静安区,10000,15000,岗位职责：1、根据公司的招商流程及工作制度开展日常招商工作，按公司要求制定会员开发计划并组织实施；2、开拓行业客户，接待到访客户；3、独立给客户讲解公司的商业模式，并对客户提出问题作出详细解答；4、定期与合作会员单位进行沟通，建立良好的长期合作关系，负责招商后的跟踪服务；5、及时向上级领导汇报项目存在问题及建议解决方法。岗位要求：1、较强的应变能力，能够承受工作压力；2、具备一定的团队合作精神和较强的学习能力；3、具有良好的执行能力、沟通和解决问题的能力；4、对新零售销售模式较熟悉，了解行业情况；5、有现货交易中心招商从业经验，有独立的业务渠道，具有良好的市场拓展能力。,民营公司,50,150,互联网/电子商务
京东运营店长,东莞市华迅跨境电子商务有限公司,2年经验,大专,东莞,4500,6000,1、负责京东店铺整体运营和日常管理；2、监控竞争对手数据，制定执行有效可行的运营方案；3、制定清晰的推广方案并负责实施，对店铺及产品访问量、转化率数据进行分析，及时对店铺细节进行改进；4、根据店铺的实际情况制定可执行性的推广运营方案、活动策划方案。任职要求：1、熟悉京东平台运作模式、运作流程；2、具备较强的数据分析能力，有清晰的运营思路；3、熟悉其各种营销工具的使用；4、有母婴类目运营经验优先考虑。注：母婴自主品牌，全方位运营推广支持，高绩效提成制度。这里有让你功成名就的平台，需要有梦想的实力派！,民营公司,150,500,"互联网/电子商务,多元化业务集团公司"
管理培训生,山东必普电子商务股份有限公司,无工作经验,本科,济南-高新区,4500,5000,岗位职责:1、按照公司培养计划规定，服从轮岗安排；2、在两至三个岗位进行轮岗，熟悉部门的主要工作和必要技能；3、6-10个月轮岗培养期期间，通过每阶段测评，深入发展和提升业务能力；4、轮岗期结束后结合轮岗表现、个人意愿及公司需要，进行最终定岗，考核通过后晋升主管。岗位要求:1、应届毕业生，本科及以上学历，男女不限；2、形象良好，有一定抗压能力，有较强的语言表达能力与组织协调能力；3、同等条件下，学生会干部、班长、团支书、优秀毕业生等优先。,民营公司,500,1000,"互联网/电子商务,餐饮业"
华强北英语销售,深圳市阿拉拉电子商务有限公司,无工作经验,大专,深圳-福田区,5000,8000,1、对接外国客户，向客户讲解、销售产品2、跟进销售订单3、处理领导交代的其他事项岗位要求：1、能流利地用英语跟客户交谈2、对销售有一定了解，有相关工作经验者优先考虑,民营公司,50,150,互联网/电子商务
高薪招聘亚马逊外贸专员/助理/外贸业务员,深圳聚优良品电子商务有限公司,无工作经验,大专,深圳-龙华新区,4500,8000,（一）岗位职责1、负责在Amazon台发布产品， listing优化，保持Amazon/Ebay/Aliexpress账号健康安全；2、对产品资料及图片进行整理编辑、书写产品英文说明，核算成本并寻找有竞争力的产品，控制新产品的质量风险，保持产品的全面竞争力；3、根据市场行情，收集分析市场状况及竞争对手状况，进行分析汇总，制定有效的竞争销售策略，确保店铺合理利润；4、完善店铺各项政策与制度，及时回复客户问题，妥善解决争议，保持店铺的好评率和良好的信誉度；5、 扩充公司产品线，核算成本并寻找供应商，控制新产品的质量风险。能快速熟悉新产品的主要特色和功能，并熟练掌握新产品Amazon/台上的销售技巧。（二）岗位要求1、大专或以上学历，良好的英文读写能力；2、计算机应用熟练，办公软件及图片处理等基础软件操作熟练；3、做事认真细心，有耐心，理解能力强，沟通能力强，具备分析和解决实际问题的能力；4、思维灵活且有逻辑性，良好的沟通能力和团队合作管理能力，有强烈的责任心和独立完成任务的能力；5、能承受一定的工作压力，执行力强；有开拓创新精神，对跨境电商有兴趣和激情。三、福利待遇：1、底薪+提成+年终奖（根据公司业绩情况及个人表现）；2、公司定期会根据员工业绩表现加薪；3、公司提供餐补，可提供住宿。4、不定期组织聚餐，旅游、培训等活动。公司坚持以岗定薪与以能定薪相结合的薪酬结构，为每个有理想有抱负的人员提供良好的、富有竞争力的薪资；只要你踏实勤恳，有责任心，不甘平庸，喜欢挑战一切可能，公司可提供无上限的晋升空间，你将收获更多金钱与成就。欢迎有志在跨境电商的同仁以及莘莘学子踊跃加入，共同创造“聚优良品”美好的明天！四、应聘告知：应聘者请携带简历、身份证、学历、学位和相关的技能证书。公司地址： 深圳市龙华新区清祥路清湖科技园B栋918地铁：清湖地铁站D口出，转公交M339/M212/M401/B731正门公交站：清湖科技园（富士康员工宿舍）（E1、B792、高峰86）公司附近公交车站：彩煌公司公交站、好日子公司公交站、深圳报业集团公交站、清湖总站（彩煌公司站下车抬头即可看到一栋浅黄色建筑）（B731、M212、M339、高峰87等）联系人：刘小姐电话： 18713478001,民营公司,50,50,"互联网/电子商务,批发/零售"
诚聘实习生销售 带薪学习 5K-8K,广东中原地产代理有限公司岭南电子商务产业园分公司,无工作经验,中专,广州-番禺区,5000,12000,在中原，每64秒就有一次成交广州番禺区【中原地产千万分行 】诚聘销售精英加入聘储备精英干部A-团队骨干：有销售经验者；业绩优秀；管理小团队能力强者优先，能独立完成任务并始终保持较好的销售业绩。B-组长：1.能独立招聘小团队；负责开发客户房源、带看、谈判转定等日常业务工作。2.负责公寓、别墅、写字楼租赁的全过程，包括识别需求、带看、收意向、谈判、签约及老客户经营等，促成业务成交；带客口才综合能力优秀者优先，C-网络销售：1.具备独立思考，热衷网络销售者；2.负责开发客户房源，定期培训，可晋升组长。D-电话销售：1.外行入门学习，负责开发客户房源，定期培训，2.负责新客户和业主的开发；3.负责客户与业主的接待与咨询，提供顾问式的咨询服务；可晋升组长。案例一：吴小姐应届毕业生，就读于广州电子商务学院，2015年4月15日加入中原，在未完成学业，在资深组长的帮助下，入职7天即打即成交天河商铺1售，创15万，个人实收48500。在后续日子里，每个月保持收入12000左右，在这里。不会存在着开单养半年，半年不开单，因为会有资深专业的导师1对1带你，帮助你最快的时间开单。案例二：杨先生，河南人，原汽车4S店销售，月均收入9千，后跨行至中原地产，2015年5月1日加入中原地产，截止2016年5月，个人业绩200万，年收入48万。2015年8月，个人最高收入14万/月，获得公司最高荣誉。【工资待遇】无责任底薪：保底3000元-5000/月+职位晋升+国外旅游（马尔代夫、巴厘岛、普吉岛、迪拜等）+荣誉晚宴等等...奖 金：成交现金奖2000元-30000元/套 + 组长额外奖励200/套 + 主管奖励300-800/套 + 经理奖励200-500/套（奖金丰厚颇多）提 成：15%-40% （比如本月成交一套产生6万业绩=提成15000+项目奖金3000+组长200+主管500+经理500=实收19200+3000底薪）保 险：五险一金（无试用期、入职即购买）拓 展：业绩达标可以参加国内外旅游拓展培 训：入职前一周基础知识与实践培训、职中培训提升、管理层竞岗培训【新员工基本前三个月平均收过8000元，不需要你有经验，我们有应届毕生半年拿了10万工资，也有90年后2个月拿到30万工资，只要你敢于走出第一步，成功就在你转身之后！】【职位要求】1．应届毕业生、从事电话销售、汽车销售、网络销售、销售助理、销售行业（优先录取）；2．沟通能力良好，善于表达，性格外向；3．初中以上学历，赚钱欲望强；4. 男女不限，18到28岁之间；5、有强烈的事业心、责任心和积极的工作态度，有相关电话销售工作经验者优先。晋升空间：我们提供清晰透明的晋升空间，有3个月的晋升机制，业绩突出者可更快速晋升，每月收入过万，或数万并非梦想，中原地产平台非常大，只要你有信心，这里可以让你更容易的实现你的梦想；面试时间：早上10：30-12：00 下午14：30-17：00面试地址：番禺区岭南电子商务产业园1街4楼中原地产,民营公司,5000,10000,"房地产,中介服务"
短视频制作和拍摄  新媒体短视频,杭州如悦电子商务有限公司,2年经验,本科,杭州-西湖区,6000,9000,1负责公司的原创短视频的拍摄创作2熟悉淘宝短视频制作，负责店铺的视频内容，参与构思脚本、视频拍摄、后期制作等工作，有较高的拍摄及制作能力；3、前期参与拍摄内容讨论，给出拍摄方案；3、根据拍摄任务，制定详细的拍摄工作计划与时间安排；任职要求：1、有互联网短视频拍摄经验者优先（这条非常重要）2、具有相关的摄影知识和审美观，熟悉器材，能适应各种拍摄条件，根据不同的拍摄要求，选择拍摄方案；3、具有一定的应变能力和团队的服务意识；良好的沟通能力4、对光线、色彩、构图、镜头言语有独到把握，能通过镜头语言表现主题及独立的拍摄想法，有一定的剪辑、调色基础。5、较强的理解、沟通能力和配合编导与剧组工作人员完成拍摄任务。6、工作高效，态度积极，责任心强，工作细心，能承受较强工作压力。7、熟练掌握Pr、PS、AE等后期制作软件，能独立完成拍摄工作8、爱影视制作，可接受应届生和实习生，摄影、影视制作、美术设计、数字影视、广告等相关专业优先二、福利1、公司给所有员工交五险(医疗、养老、失业、生育和工伤)；2、提供餐费补贴、过节费、高温费、活动费、生日福利、带薪休假等等。三、工作时间8点30-5:30 单休四、面试注意事项面试安排：面试携带个人身份证原件，学历证书，应聘简历面试地址：杭州拱墅区登云路518号西城时代2幢1612 公交站：文化商城 园区标志性建筑：金象影城,民营公司,50,50,互联网/电子商务
招聘主管,苏州食行生鲜电子商务有限公司,3-4年经验,本科,苏州,8000,12000,岗位职责：1、承担公司年度、月度整体招聘任务，带领招聘小组达成招聘指标；2、每年度校园招聘的策划、执行；3、开发拓展校企之间的有效合作；4、中高端人才的策略性引进；5、企业人才库建设；6、对接猎头合作；7、招聘流程的建设和完善，招聘渠道的开发。任职要求：1、人力资源或行政管理类专业本科及以上学历，3年以上招聘管理工作经验，具备猎头背景；2、熟悉招聘流程，熟练运用各种招聘工具和人才测评手段，具有丰富的招聘经验与技巧，熟悉国家相关法律法规；3、熟悉各种人才的招聘渠道，精通各种面试技巧与方法，有招聘统筹能力；4、优秀的语言表达及沟通协调能力，良好的分析判断力，极强的执行力；5、良好的服务意识、职业操守与团队协作精神，高度的敬业精神及工作热情，工作严谨细腻，考虑问题周全。,民营公司,500,1000,互联网/电子商务
服装制版师,上海沃士电子商务有限公司,3-4年经验,大专,上海-浦东新区,6000,8000,1、负责按照设计师的要求完成每件款式的样板制作；2、负责指导样衣工制作样衣；3、负责解决版型与工艺质量问题；4、负责做好生产款式的推档工作；5、负责参与生产过程的质量控制工作。任职资格：1、服装设计、美术、计算机等相关专业中等和以上学历；2、3年以上制版相关经验；3、熟悉常用的ET、智尊宝纺等计算机服装设计、制图软件；4、具有相关技能培训资格者优先，有打版工作经验者优先。,民营公司,50,50,"服装/纺织/皮革,批发/零售"
平面设计师,武汉美印像电子商务有限公司,3-4年经验,大专,武汉-汉阳区,4000,6000,岗位职责：1、负责公司市场营销活动方案的策划与组织实施，对外宣传资料和文案的撰写2、根据业务需要制作各种宣传资料，塑造良好公司品牌形象3、能独立运营微信公众号，负责微信公众号日常运营维护4、图文推送，互动5、产品朋友圈图片收集、文字编辑任职资格：1、有经验和大专以上学历者优先2、一年以上相关工作，有创意、文案相关工作经验者优先；3、具有较强的文案写作能力，出色的文字组织能力，写作经验丰富，有丰富的提案经验；4、熟悉市场推广、品牌策划、活动策划的整个流程；5、拥有广告或策划经验，熟悉品牌与企业文化战略规划；6、会简单平面软件。面试时间：周一至周五上午9：00至下午5:00联系人：李经理13307115916工作地址武汉市沌口经济开发区武汉设计广场3栋3楼,民营公司,50,150,印刷/包装/造纸
宿迁 城市经理（销售代表）,环娱电子商务（上海）有限公司,1年经验,大专,宿迁,6000,8000,岗位职责：1 .开拓当地市场（特渠）；2、推广“环娱易购”采购平台，开拓建立稳定产业客户群；3. 设定推广目标并增加客户订货率；4 .及时掌握区域内的客户行业动态并及时向公司反馈；5 .代表参加区域内公司所举办的促销活动；6 .及时处理客户投诉。任职要求：1、本地户籍优先；2 、男女均可 ；3、大专及以上学历，20-35岁；4、 一年以上的市场工作经验，有过团购、电子商务、快消、休闲娱乐资源开拓经验者优先；5、 有进取心，能吃苦，热爱推广的人士；6、 思路敏捷，有良好的沟通与语言表达能力以及团队合作精神。本岗位单双休，不能接受的请勿投简历！！！,合资,150,500,"快速消费品(食品、饮料、化妆品),互联网/电子商务"
阿里巴国际外贸B2B销售(职位编号：005),深圳市淘品汇电子商务有限公司,1年经验,大专,深圳-龙岗区,4000,6000,"1：回复客户询盘，跟进维护客户，达成订单、合同制作。2 : 整理编辑产品标题，优化产品关键词，阿里产品发布,RFQ报价，后台维护，负责收集、分析市场情报；3：维护并提高平台信誉和销量，熟练的运用各种方式推广和宣传平台店铺，提高产品曝光率及排名(如FACEBOOK,等等社交平台）4：能流利的书写英文邮件与客人确认所有的订单事项，且能用英文与国外客户电话交流或当面沟通！任职要求：1：此岗位优先录用有半年以上B2B销售经验者！2：熟悉阿里国际平台流程3：较强的学习能力、沟通协调能力，热爱B2B外贸销售，有良好的创新意识和团队合作意识，工作有计划性和执行力强！工作要求：1：学 历 全日制大专或本科；2：英语4级或6级以上；良好的听 说 读 写能力；如有熟练第二外 日语 或德语者优先聘用。3： 熟悉国际贸易流程；福利与待遇：1、提供安全、舒适、快乐的工作氛围和环境；2、薪资（4000-6000+提成+年终奖+旅游奖励，综合过万），购买五险（社保）3、注重员工的专业技能及综合素质的培养，有明确的职业规划！4、每季度举行同事聚餐，每半年举行外出旅游，平时不定期举行Party活动!5、举办员工生日会，派发节日礼物红包等；6、5天半工作日，每日奋斗8小时（朝9晚6）；享受国家有关规定的法定节假日；深圳市淘品汇电子商务有限公司，是一家专注于跨境电子商务零售及产品的设计研发企业。公司成立于2014年，正处于快速发展时期，在这里你将有很大的晋升空间。我司主营平台为阿里巴巴国际站（B2B); 亚马逊（美国，英国，德国，日本，澳大利亚站点，阿里巴巴旗下速卖通，WISH，LAZADA等全球外贸平台。我司主打精品运营路线，90%以上的产品海外仓，FBA发货。主营品类：家居装饰，服装，家居日用，户外，玩具等类目。我司品牌分布于：美国，英国，欧盟国家等！我们的团队：热情洋溢的90后组成，富有创造力，有活力！我们秉承诚信，分享，共赢的管理理念，期待有活力，有责任心，充满斗志的你加入我们！公司地址：深圳坂田街道五和光雅园1985园中园3栋3楼地铁环中线：五和站B出口，往前（共享单车8分钟可到），或公交站光雅园路口下车！邮箱：952562401@qq.com谢谢！",民营公司,50,50,"贸易/进出口,批发/零售"
